Primary_Country,COUNTA of Primary_Country,,,
Afghanistan,28,,,
Algeria,25,,,
Ambiguous,260,,,
"Ambiguous, Australia, Pakistan, South Africa",1,,,
"Ambiguous, Portugal, France, Russia",1,,,
American Samoa,1,,,
Andorra,1,,,
Argentina,81,,,
Argentina ,1,,,
Armenia,6,,,
Australia,90,,,
"Australia, ambiguous",4,,,
"Australia, India, South Africa, Ambiguous",1,,,
"Australia, North America",1,,,
"Australia, Turkey, the Netherlands, ambiguous",1,,,
Austria,6,,,
Bahrain,3,,,
Bangladesh,17,,,
Belarus,7,,,
Belgium,2,,,
Bhutan,6,,,
"Bolivia, Plurinational State of",41,,,
Brazil,210,,,
Burundi,8,,,
Cambodia,4,,,
Cameroon,2,,,
Canada,20,,,
"Canada, Ireland",1,,,
"Canada, South Africa",1,,,
"Canada, US",1,,,
Central African Republic,4,,,
Chile,4,,,
China,449,,,
China (ambiguous),1,,,
China (Hong Kong),1,,,
"China, ambiguous",1,,,
"China, Pakistan",1,,,
Colombia,115,,,
"Congo, the Democratic Republic of the",59,,,
Costa Rica,39,,,
C̫te d'Ivoire,3,,,
Cuba,6,,,
Czech Republic,2,,,
Dominican Republic,1,,,
Ecuador,59,,,
Egypt,196,,,
El Salvador,2,,,
Estonia,2,,,
Ethiopia,3,,,
"Ethiopia, ambiguous",1,,,
Fiji,8,,,
France,136,,,
Gabon,1,,,
Georgia,3,,,
Germany,229,,,
Ghana,3,,,
Greenland,1,,,
Guam,4,,,
Guatemala,15,,,
Guinea,4,,,
"Guinea, Nigeria",1,,,
Honduras,1,,,
Hong Kong,17,,,
Hong Kong (ambiguous),3,,,
"Hong Kong, Ambiguous",2,,,
"Hong Kong, Thailand, ambiguous",1,,,
Hungary,1,,,
India,205,,,
"India, ambiguous",2,,,
"India, Canada, Philippines",2,,,
"India, Nigeria, US, Cambodia, ambiguous",1,,,
"India, Saudi Arabia, the Philippines.",1,,,
"India, Sri Lanka",1,,,
Indonensia,1,,,
Indonesia,136,,,
"Indonesia, ambiguous",1,,,
"Indonesia, Malaysia",3,,,
"Indonesia, Malaysia, Ambiguous",2,,,
"Indonesia, Philippines",1,,,
"Indonesia, Poland",1,,,
"Iran, Islamic Republic of",29,,,
Iraq,50,,,
Ireland,16,,,
Israel,9,,,
Italy,149,,,
Japan,128,,,
Jordan,24,,,
Kenya,97,,,
"Kenya, Ambiguous",1,,,
"Kenya, Nigeria, South Africa, Uganda",1,,,
"Korea, Democratic People's Republic of",3,,,
"Korea, Republic of",108,,,
Kuwait,16,,,
Latvia,5,,,
Lebanon,21,,,
"Lesotho, Kenya",1,,,
"Liberia, Nigeria",1,,,
Libya,4,,,
Lithuania,1,,,
Madagascar,1,,,
"Madagascar, Nigeria, Ghana",1,,,
Malawi,1,,,
Malaysia,112,,,
"Malaysia, ambiguous",1,,,
"Malaysia, India",1,,,
Mali,7,,,
Mauritania,2,,,
Mexico,57,,,
"Mexico, Ambiguous",1,,,
"Moldova, Republic of",3,,,
Morocco,14,,,
Myanmar,2,,,
Nauru,1,,,
Nepal,49,,,
New Zealand,7,,,
Nicaragua,1,,,
Nigeria,76,,,
"Nigeria (ambiguous), Ghana (ambiguous)",1,,,
"Nigeria, ambiguous",2,,,
"Nigeria, Ghana",1,,,
"Nigeria, Kenya",1,,,
"Nigeria, Slovakia",1,,,
"Nigeria, United States",1,,,
"Nigeria, Zimbabwe, Zambia, Uganda.",1,,,
Northern Mariana Islands,1,,,
Norway,1,,,
Oman,9,,,
Pacific,1,,,
Pakistan,66,,,
Pakistan (ambiguous),1,,,
"Pakistan, ambiguous",1,,,
"Pakistan, ambiuous",1,,,
"Pakistan, India, ambiguous",1,,,
"Pakistan, India, Singapore",1,,,
"Palestine, State of",12,,,
Papua New Guinea,1,,,
Paraguay,5,,,
Peru,22,,,
Philippines,73,,,
"Philippines, Ambiguous",1,,,
"Philippines, Kenya, Nigeria, Spain",1,,,
"Philippines, Sri Lanka",1,,,
Poland,2,,,
Portugal,4,,,
Russian Federation,77,,,
Rwanda,2,,,
Saudi Arabia,64,,,
Senegal,9,,,
Singapore,51,,,
"Singapore, Malaysia, Indonesia",1,,,
Sinhala,1,,,
South Africa,57,,,
"South Africa, Ethiopia",1,,,
"South Africa, India, United States",1,,,
"South Africa, Nigeria, Ghana, Bangladesh",1,,,
South Sudan,3,,,
Spain,254,,,
Sri Lanka,85,,,
"Sri Lanka, ambiguous",1,,,
"Sri Lanka, Malaysia, the Philippines, India",1,,,
"Sri Lanka, Philippines",1,,,
Sudan,9,,,
Sweden,3,,,
Syrian Arab Republic,20,,,
Taiwan,1,,,
"Taiwan, Province of China",83,,,
"Tanzania, Uganda",1,,,
"Tanzania, United Republic of",18,,,
Thailand,20,,,
"Thailand, Ambiguous",2,,,
Tunisia,35,,,
Turkey,300,,,
Uganda,26,,,
UK,1,,,
Ukraine,33,,,
United Arab Emirates,14,,,
United Kingdom,144,,,
United States,441,,,
US,31,,,
"US, Ambiguous",7,,,
"US, Canada, Australia",1,,,
"US, Canada, UK",1,,,
"US, Nigeria",1,,,
USA (ambiguous),1,,,
"Venezuela, Bolivarian Republic of",17,,,
"Virgin Islands, U.S.",1,,,
Yemen,3,,,
"Zambia, Nigeria, Madagascar",1,,,
Zimbabwe,5,,,
(blank),,,,
Grand Total,5611,,,
